title,author,publisher,rating,language,image_link
MECHANICAL ENGINEERING (CONVENTIONAL AND OBJECTIVE TYPE) 2023,R S KHURMI,S.CHAND,4.0 out of 5 stars,English,https://m.media-amazon.com/images/I/51cPI8rdKuL._AC_UY218_.jpg
MECHANICAL ENGINEERING (CONVENTIONAL AND OBJECTIVE TYPE) 2023,R S KHURMI,S.CHAND,4.0 out of 5 stars,English,https://m.media-amazon.com/images/I/51cPI8rdKuL._AC_UY218_.jpg
Civil Engineering: Through Objective Type Questions,S.P. Gupta,"CBS Publishers & Distributors Pvt Ltd, India",4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/61wQT1048bL._AC_UY218_.jpg
Foundations Of Electrical Engineering,OXFORD UNIVERSITY PRESS,Bobrow,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/41rStor5M0L._AC_UY218_.jpg
Civil Engineering: Conventional and Objective Type by R. S. Khurmi (1-Dec-06) Paperback,,,4.2 out of 5 stars,English,https://m.media-amazon.com/images/I/51ZOIVggtgL._AC_UY218_.jpg
Automobile Engineering,,,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/81tGXvT9hbL._AC_UY218_.jpg
Energy Harvesting Technologies,Shashank Priya,Springer,4.0 out of 5 stars,English,https://m.media-amazon.com/images/I/71cKZG8UNxL._AC_UY218_.jpg
"CIVIL ENGINEERING THROUGH OBJECTIVE TYPE QUESTIONS 3RD EDITION [Paperback] GUPTA S.P. [Paperback] GUPTA S.P. [Paperback] S. P. GUPTA, S.S .Gupta [Paperback] S. P. GUPTA, S.S .Gupta [Paperback] S. P. GUPTA, S.S .Gupta [Paperback] S. P. GUPTA [Paperback] S. P. GUPTA [Paperback] S. P. GUPTA [Paperback] S. P. GUPTA [Paperback] S. P. GUPTA [Paperback] S. P. GUPTA [Paperback] S. P. GUPTA",S. P. GUPTA,CBS PUBLISHING,4.0 out of 5 stars,Hindi,https://m.media-amazon.com/images/I/31t8q++8K+L._AC_UY218_.jpg
Conventional & Objective Type Questions & Answers on Mechanical Engineering for Competitions (with Guidelines to Interview Preparation and Sample Interview Preparation and Sample Interviews),,,4.2 out of 5 stars,English,https://m.media-amazon.com/images/I/61r2ZJa8wTL._AC_UY218_.jpg
A Textbook of Engineering Physics,Avadhanulu,,4.4 out of 5 stars,English,https://m.media-amazon.com/images/I/81X7SugiDdL._AC_UY218_.jpg
"ENVIRONMENTAL ENGINEERING : SEWAGE DISPOSAL AND AIR POLLUTION ENGINEERING VOL .II,31/ED",Santosh Kumar Garg,KHANNA PUBLISHERS,4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/41-uGUbHMYL._AC_UY218_.jpg
Water Supply Engineering: Environmental Engineering v. 1,Santosh Kumar Garg,Khanna Publisher,4.4 out of 5 stars,English,https://m.media-amazon.com/images/I/51hsBDYETIL._AC_UY218_.jpg
Estimating and Costing in Civil Engineering: Theory and Practice,B. N. Dutta,CBS Publ & Dist Pvt Ltd India,4.2 out of 5 stars,English,https://m.media-amazon.com/images/I/A1uXFuKfO3L._AC_UY218_.jpg
"Engineering Circuit Analysis, 9th Edition",HAYT,MC GRAW HILL INDIA,4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/51ah7iQrVWL._AC_UY218_.jpg
Industrial Engineering and Production Management,Telsang Martand,S.Chand Publishing,4.2 out of 5 stars,English,https://m.media-amazon.com/images/I/91vbK8L64nL._AC_UY218_.jpg
Irrigation Engineering,WILEY INDIA,H.M. RAGHUNATH,4.7 out of 5 stars,English,https://m.media-amazon.com/images/I/71-eBNfemxL._AC_UY218_.jpg
Engineering Mechanics : Statics Si Version,MERIAM KRAIGE BOLTON,WILEY INDIA,4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/71ptCP-O2LL._AC_UY218_.jpg
